,项目名称,中标金额（万元）,中标单位名称,招标人,监督部门,招标代理
0,深国际长沙综合物流港项目一期工程W2、W7物流仓库施工,15652.68 ,湖南建工集团有限公司,长沙深国际综合物流港发展有限公司,/,大华建设项目管理有限公司
1,长沙梅溪湖098地块项目二标段施工总承包,29065.44 ,中铁城建集团第一工程有限公司,长沙京信房地产开发有限公司,湖南湘江新区管委会住建环保局,大华建设项目管理有限公司
2,长沙梅溪湖098地块项目一标段施工总承包,34633.69 ,中铁建设集团有限公司,长沙京信房地产开发有限公司,湖南湘江新区管委会住建环保局,湖南新泉工程造价咨询有限公司
3,长沙市第四医院滨水新城院区建设项目（基本医疗部分）新院区中心配电站安装工程施工项目,1681.56 ,湖南省工业设备安装有限公司,长沙市第四医院,长沙市望城区建设工程招投标工作事务中心,中信国际招标有限公司
4,长沙市星沙强制隔离戒毒所整体迁建项目强电工程施工,403.84 ,长沙合力电力安装工程有限公司,长沙市公共工程建设中心,/,湖南中誉项目管理有限公司
5,看云中学建设项目施工,11920.74 ,湖南建工集团有限公司,梅溪湖投资（长沙）有限公司,/,湖南创迪工程管理咨询有限公司
6,建工_象山国际二期一标段（B1#、B2#、B6#栋）施工总承包工程,22968.78 ,湖南省第六工程有限公司,湖南建工置业投资有限公司,/,湖南信元工程项目管理有限公司
7,中塘片区安置房项目场地平整施工,1367.91 ,湖南乔口建设有限公司,长沙梦科置业有限公司,/,湖南新泉工程造价咨询有限公司
8,万家丽路220kV电力隧道工程消防工程施工,285.85 ,湖南得大建设集团有限公司,长沙市公共工程建设中心,长沙市建设工程招标投标中心,湖南国联招标有限公司
9,?洋湖片区洋湖安置保障房项目设计-施工总承包,44053.96 ,?中国建筑第五工程局有限公司/中国建筑西南设计研究院有限公司,/,/,湖南中技项目管理有限公司
10,天心经开区暮云片区建成区已建道路等配套设施提质改造工程（伊莱克斯大道、南湖大道）设计施工总承包,18627.77 ,长沙市市政工程有限责任公司,/,/,广州万安建设监理有限公司
11,天心经开区暮云片区建成区已建道路等配套设施提质改造工程设计施工总承包（暮云大道等五条路）,13393.25 ,湖南省西城建设有限公司、湖南大学设计研究院有限公司,湖南天长置业有限责任公司,/,大华建设项目管理有限公司
12,长沙市开福区松林路(天井路~庙堂路）道路工程施工,1978.48 ,湖南兴旺建设有限公司,长沙金霞经济开发区开发建设总公司；,/,湖南中誉项目管理有限公司
13,湖南发展资产管理集团有限公司办公用房装修工程设计施工总承包,3189.89 ,湖南建工集团装饰工程有限公司（联合体牵头人）、湖南省建筑设计院有限公司,/,/,永信和瑞工程咨询有限公司
14,长沙市留置场所升级改造项目（新建部分）EPC范围内智能化系统工程及相关服务项目,1777.28 ,广州杰赛科技股份有限公司,/,/,湖南广联工程项目管理有限公司
15,月华街南段（溁湾路-白沙液街）道路提质改造工程设计施工总承包,1119.60 ,湖南省西湖建筑集团有限公司（联合体牵头人）、湖南省建筑科学研究院有限责任公司,/,/,湖南中誉项目管理有限公司
16,宁乡高新金锂公租房（人才公寓）建设设计施工总承包（第二次）,42858.12 ,/,宁乡同创建设开发有限公司,/,湖南尚宽工程项目管理有限公司
17,长沙高铁会展新城定向商品房源配套建设道路工程施工第二标段,7790.96 ,湖南省第三工程有限公司,长沙市长东投资发展有限公司；,/,湖南中誉项目管理有限公司
18,长沙高铁会展新城定向商品房源配套建设道路工程施工第一标段,7448.69 ,湖南望新建设集团股份有限公司,长沙市长东投资发展有限公司；,/,湖南中誉项目管理有限公司
19,马栏山人才公寓项目施工,19144.14 ,湖南东方红建设集团有限公司,长沙马栏山投资开发建设有限公司,/,湖南建业管理咨询有限公司
20,支路十二道路工程施工,284.65 ,湖南联众建设工程有限公司,长沙市滨江新城建设开发有限责任公司,/,湖南新泉工程造价咨询有限公司
21,安沙镇物流大道二期建设项目（西向）标段施工,4463.94 ,湖南梅溪湖建设有限公司,长沙县重点建设项目事务中心/长沙县星城发展集团有限公司,/,智埔国际工程咨询有限公司
22,中房瑞致小区5号地块60#-66#栋、垃圾站及地下室建设项目施工,36816.82 ,湖南省第六工程有限公司,长沙中住兆嘉房地产开发有限公司,/,湖南信元工程项目管理有限公司
23,北辰三角洲项目A1D1区商业改造总承包工程,22882.24 ,上海建工二建集团有限公司,长沙北辰房地产开发有限公司,开福区招标投标管理办公室,湖南拓天工程项目管理有限公司
24,长沙市环保大道东延线（振东路-红旗路）电力埋管工程施工,1314.02 ,湖南华信安装工程有限公司,长沙雨花经开开发建设有限公司,/,大华建设项目管理有限公司
25,高排水改造工程（北津城路及北津城公园）项目施工（第二次）,7813.16 ,湖南望新建设集团股份有限公司,长沙市滨江新城建设开发有限责任公司；,/,广州万安建设监理有限公司
26,万家塘路（银星路-银晟路）道路工程施工,3814.88 ,湖南省永安建筑股份有限公司,长沙湘江新城投资有限公司,/,湖南新泉工程造价咨询有限公司
27,合欢路（和润园三期-松柏路）和松柏路（桥头小学-红枫路）道路工程施工,2503.98 ,湖南星大建设集团有限公司,长沙麓谷建设发展有限公司,/,湖南省工程建设监理有限公司
28,宁乡高新区云起实验小学建设设计施工总承包,8330.94 ,五矿二十三冶建设集团有限公司/湖南建设集团有限公司,长沙恩吉实业投资有限公司,/,湖南尚宽工程项目管理有限公司
29,长沙市开福区公共卫生服务大楼装饰装修工程施工,723.46 ,湖南洪山建设集团有限公司,长沙开福城市建设投资有限公司；,/,湖南阳光建设工程项目管理有限公司
30,曙光电子集团有限公司办公楼、食堂装修改造工程总承包（EPC）,782.08 ,湖南北山建设集团股份有限公司（联合体牵头人）、长沙市规划设计院有限责任公司（联合体成员,曙光电子集团有限公司,,湖南省湘咨工程咨询有限责任公司
31,湖南长沙数据机房土建工程及室外工程施工项目,14571.10 ,湖南东方红建设集团有限公司,中国移动通信集团湖南有限公司,/,湖南省工程建设监理有限公司
33,时光印象B-1#~B-14#、B-S1#、 B-G1#、25#地下室及垃圾站工程施工,92966.04 ,中国建筑第五工程局有限公司,长沙先导恒泰房地产开发有限公司；,/,湖南华中源工程项目管理有限公司
34,黄江大道、上湾中路、中轴大道、金桂路、高塘坪路五条道路配电工程施工项目,1135.89 ,湖南华信安装工程有限公司,长沙市长东投资发展有限公司,/,湖南龙武工程项目管理有限公司
39,刘少奇故居文物保护中心周边环境工程设计施工总承包,661.64 ,/,/,,大成工程咨询有限公司
40,洋湖人才公寓项目（一期）施工总承包工程,30263.99 ,中国建筑第五工程局有限公司,长沙恒志房地产开发有限公司,/,湖南新泉工程造价咨询有限公司
41,浏阳市新屋岭小学建设项目工程总承包（EPC）项目,5888.65 ,湖南省沙坪建设有限公司,浏阳市公共工程建设中心,/,湖南中技项目管理有限公司
