,项目名称,中标金额（元）,中标单位名称,招标人,监督部门,招标代理,时间
0,浏阳市禧和社区花炮小区基础设施配套项目,9938113.55,湖南省西湖建筑集团有限公司,：浏阳市集里街道办事处,浏阳市发展和改革局,/,时间：2020-04-29 14:56:05
1,湖南日报印务中心大楼改造工程（景观及钢结构）项目设计施工总承包,12737785.8,湖南森鑫环境景观园林工程有限公司,华声在线股份有限公司,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-04-29 14:52:46
2,长沙县青山铺城乡换乘枢纽站建设工程,6287815.3,湖南旌竣建设工程有限公司,长沙县道路运输服务中心,长沙县发展和改革局,/,时间：2020-04-29 14:51:45
3,靳江河流域五星安置小区管网改造项目设计施工总承包,8525202.65,湖南天地人和建设有限公司（联合体牵头人）湖南大学设计研究院有限公司（联合体成员）,长沙市岳麓区水利建设项目管理中心,长沙市岳麓区公共资源交易管理委员会办公室,/,时间：2020-04-29 14:49:40
4,宁乡市东湖塘镇中心小学教学楼扩建项目设计采购施工（EPC）总承包,11085047.81,湖南省城市建筑集团有限公司/湖南省建筑科学研究院有限责任公司,宁乡市东湖塘镇人民政府,宁乡市建设工程招投标事务中心,/,时间：2020-04-29 14:46:43
5,长沙南站东广场等3个站场充电桩设备采购及安装项目,3580600.0,深圳橙电新能源科技有限公司,长沙市湘行交通新能源有限公司,长沙市建设工程招标投标中心,/,时间：2020-04-29 14:44:49
6,苗木云平地工程,6824122.52,湖南东晖耀建设有限公司,浏阳经开区投资发展有限公司,浏阳经济技术开发区财政局招标采购中心,/,时间：2020-04-29 14:44:40
7,万家丽路220kV电力隧道工程外接电源工程,4324751.77,湖南警安工程有限公司,长沙市公共工程建设中心,长沙市建设工程招标投标中心,/,时间：2020-04-29 14:43:43
8,芙蓉区蔡锷中路两厢棚户区改造项目（蔡锷中路西片区）控制性详细规划修改,740000.0,长沙市规划设计院有限责任公司,：长沙市芙蓉棚改投资有限责任公司,长沙市芙蓉区建设工程招投标管理办公室,/,时间：2020-04-27 09:26:40
9,Y06-G67地块绿廊（湿地公园一期入口北广场）项目施工,7550809.22,浩天建工集团有限公司,长沙先导洋湖建设投资有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2020-04-26 18:26:26
10,Y06-G67地块绿廊（湿地公园一期入口北广场）项目施工,7550809.22,浩天建工集团有限公司,长沙先导洋湖建设投资有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2020-04-26 18:26:26
11,深国际长沙综合物流港项目一期工程W2、W7物流仓库施工,156526815.0,湖南建工集团有限公司,长沙深国际综合物流港发展有限公司,长沙市开福区招标投标管理办公室,/,时间：2020-04-26 18:25:25
12,宁乡市横市镇横市集镇基础设施配套项目,1921442.0,湖南米球建设有限公司,宁乡市横市镇人民政府,宁乡市建设工程招标投标事务中心,/,时间：2020-04-26 18:17:23
13,宁乡市横市镇横市集镇基础设施配套项目,1921442.0,湖南米球建设有限公司,宁乡市横市镇人民政府,宁乡市建设工程招标投标事务中心,/,时间：2020-04-26 18:17:23
14,长沙市开福区高岭路（明秀路-中青路）道路工程施工,20044452.03,湖南梅溪湖建设有限公司,长沙金霞经济开发区开发建设总公司,长沙市开福区招投标管理办公室,/,时间：2020-04-26 18:03:42
15,浔龙河公交枢纽站建设工程（一期）施工项目,20754107.93,湖南东方红建设集团有限公司,长沙县重点建设项目事务中心,长沙县发展和改革局,/,时间：2020-04-26 18:00:44
16,湖南省国家军粮综合保障基地宁乡方便快餐类产品生产加工中心项目施工,4280153.7,湖南万寿建设有限公司,湖南金健速冻食品有限公司,宁乡经济技术开发区政府采购与招投标办公室,/,时间：2020-04-26 17:56:50
17,明德麓谷学校学生宿舍楼改造工程项目施工,8641326.69,湖南沙坪装饰有限公司,长沙麓谷建设发展有限公司,长沙高新技术产业开发区建设工程招标投标管理办公室,/,时间：2020-04-26 17:50:39
18,湖南省天然气调控中心装修工程,22398649.94,长沙广大建筑装饰有限公司,湖南湘投天然气投资有限公司,长沙市建设工程招标投标中心,/,时间：2020-04-26 17:49:41
19,长沙梅溪湖098地块项目二标段施工总承包,311663300.33,中铁建设集团有限公司,：长沙京信房地产开发有限公司,湖南湘江新区管委会住建环保局,/,时间：2020-04-26 17:44:53
